State,Measure,Sector,Year,Pivot Field Names,Value
Hawaii,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",21.5
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",0.8
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",7.6
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",2
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",0
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",11.1
Hawaii,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",20.1
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",0.3
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",7.7
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",2.2
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",0
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",9.9
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",18.7
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",0.3
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",8
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",1.3
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",9
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",22.9
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",0.3
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",8.1
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",1.7
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",12.7
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",19.1
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",0.3
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",7.6
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",1.5
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",9.6
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",19.5
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",7.4
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",1.5
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",10.1
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",19
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",7.1
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",1.4
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",10
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",18.5
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",6.8
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",1.3
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",9.9
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",18.4
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",6.7
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",1.3
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",9.9
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",18.5
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",6.6
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",1.3
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",10.1
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",18.5
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",0.4
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",6.6
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",1.2
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",10.2
Hawaii,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",17.8
Hawaii,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",0.5
Hawaii,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",5.6
Hawaii,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",1.4
Hawaii,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",0.1
Hawaii,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",10.2
Idaho,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",11.2
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",0.9
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",0
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",3.7
Idaho,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",0.7
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",5.9
Idaho,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",9.9
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",0.8
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",0
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",2.7
Idaho,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",0.8
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",5.6
Idaho,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",11.3
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",0.8
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",0
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",3.4
Idaho,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",0.8
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",6.3
Idaho,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",13.3
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",0.8
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",0
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",3.8
Idaho,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",1
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",7.7
Idaho,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",15.6
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",1.1
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",0.1
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",4.2
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",1.5
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",8.7
Idaho,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",15.7
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",1
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",0.6
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",3.9
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",1.6
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",8.6
Idaho,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",16
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",1.1
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",0.7
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",3.4
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",1.6
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",9.2
Idaho,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",15.8
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",1.2
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",0.4
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",3.5
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",1.8
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",8.9
Idaho,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",15.5
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",1.1
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",0.7
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",3.2
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",1.5
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",9
Idaho,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",16.9
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",1.2
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",1.3
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",3.4
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",1.8
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",9.2
Idaho,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",16.6
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",1.2
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",1
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",3.5
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",1.6
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",9.3
Idaho,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",17.9
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",1.3
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",1.5
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",3.3
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",1.5
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",10.3
Idaho,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",18.3
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",1.4
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",1.3
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",3.3
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",1.6
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",10.7
Idaho,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",18.5
Idaho,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",1.4
Idaho,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",1.1
Idaho,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",3.3
Idaho,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",1.9
Idaho,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",10.8
Illinois,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",232.4
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",15.4
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",74.5
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",56
Illinois,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",28.6
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",57.9
Illinois,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",198.6
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",14.5
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",64.1
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",42.7
Illinois,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",26.8
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",50.5
Illinois,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",191.4
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",12.5
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",57.8
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",41.6
Illinois,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",25.5
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",54
Illinois,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",207.7
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",12.5
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",67.5
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",44.1
Illinois,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",28.5
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",55.1
Illinois,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",231.8
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",12.4
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",86.5
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",39.6
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",26.9
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",66.4
Illinois,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",242.5
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",11.8
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",94.5
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",35.3
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",24.8
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",76.1
Illinois,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",230.7
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",11.6
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",95.1
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",34.7
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",23.9
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",65.4
Illinois,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",229.6
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",12.5
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",92.3
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2011,"Industrial, (million metric tons)",36
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2011,"Residential, (million metric tons)",23.9
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2011,"Transportation, (million metric tons)",64.9
Illinois,Carbon Dioxide emissions (million metric tons),Total,2012,"Total, (million metric tons)",216.8
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2012,"Commercial, (million metric tons)",11
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2012,"Electric power, (million metric tons)",86.3
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2012,"Industrial, (million metric tons)",36.1
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2012,"Residential, (million metric tons)",20.5
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2012,"Transportation, (million metric tons)",62.9
Illinois,Carbon Dioxide emissions (million metric tons),Total,2013,"Total, (million metric tons)",230.3
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2013,"Commercial, (million metric tons)",13.6
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2013,"Electric power, (million metric tons)",90
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2013,"Industrial, (million metric tons)",37
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2013,"Residential, (million metric tons)",26
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2013,"Transportation, (million metric tons)",63.7
Illinois,Carbon Dioxide emissions (million metric tons),Total,2014,"Total, (million metric tons)",233.3
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2014,"Commercial, (million metric tons)",14.4
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2014,"Electric power, (million metric tons)",88.9
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2014,"Industrial, (million metric tons)",37.6
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2014,"Residential, (million metric tons)",27.4
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2014,"Transportation, (million metric tons)",65
Illinois,Carbon Dioxide emissions (million metric tons),Total,2015,"Total, (million metric tons)",215.9
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2015,"Commercial, (million metric tons)",13.6
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2015,"Electric power, (million metric tons)",77.3
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2015,"Industrial, (million metric tons)",34
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2015,"Residential, (million metric tons)",23.1
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2015,"Transportation, (million metric tons)",67.9
Illinois,Carbon Dioxide emissions (million metric tons),Total,2016,"Total, (million metric tons)",204
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2016,"Commercial, (million metric tons)",13.4
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2016,"Electric power, (million metric tons)",67.2
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2016,"Industrial, (million metric tons)",32.9
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2016,"Residential, (million metric tons)",22.3
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2016,"Transportation, (million metric tons)",68.2
Illinois,Carbon Dioxide emissions (million metric tons),Total,2017,"Total, (million metric tons)",202.3
Illinois,Carbon Dioxide emissions (million metric tons),Commercial,2017,"Commercial, (million metric tons)",13.6
Illinois,Carbon Dioxide emissions (million metric tons),Electric power,2017,"Electric power, (million metric tons)",65.1
Illinois,Carbon Dioxide emissions (million metric tons),Industrial,2017,"Industrial, (million metric tons)",33.4
Illinois,Carbon Dioxide emissions (million metric tons),Residential,2017,"Residential, (million metric tons)",21.8
Illinois,Carbon Dioxide emissions (million metric tons),Transportation,2017,"Transportation, (million metric tons)",68.4
Indiana,Carbon Dioxide emissions (million metric tons),Total,1980,"Total, (million metric tons)",181.7
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,1980,"Commercial, (million metric tons)",6.3
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,1980,"Electric power, (million metric tons)",68.7
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,1980,"Industrial, (million metric tons)",63.4
Indiana,Carbon Dioxide emissions (million metric tons),Residential,1980,"Residential, (million metric tons)",12
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,1980,"Transportation, (million metric tons)",31.3
Indiana,Carbon Dioxide emissions (million metric tons),Total,1985,"Total, (million metric tons)",180.7
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,1985,"Commercial, (million metric tons)",6.2
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,1985,"Electric power, (million metric tons)",77
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,1985,"Industrial, (million metric tons)",51.1
Indiana,Carbon Dioxide emissions (million metric tons),Residential,1985,"Residential, (million metric tons)",10
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,1985,"Transportation, (million metric tons)",36.4
Indiana,Carbon Dioxide emissions (million metric tons),Total,1990,"Total, (million metric tons)",204.7
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,1990,"Commercial, (million metric tons)",5.5
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,1990,"Electric power, (million metric tons)",96.9
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,1990,"Industrial, (million metric tons)",52
Indiana,Carbon Dioxide emissions (million metric tons),Residential,1990,"Residential, (million metric tons)",9.7
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,1990,"Transportation, (million metric tons)",40.6
Indiana,Carbon Dioxide emissions (million metric tons),Total,1995,"Total, (million metric tons)",207.4
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,1995,"Commercial, (million metric tons)",5.7
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,1995,"Electric power, (million metric tons)",103.3
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,1995,"Industrial, (million metric tons)",44.4
Indiana,Carbon Dioxide emissions (million metric tons),Residential,1995,"Residential, (million metric tons)",10.4
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,1995,"Transportation, (million metric tons)",43.6
Indiana,Carbon Dioxide emissions (million metric tons),Total,2000,"Total, (million metric tons)",236.4
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,2000,"Commercial, (million metric tons)",6.3
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,2000,"Electric power, (million metric tons)",121.8
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,2000,"Industrial, (million metric tons)",51.6
Indiana,Carbon Dioxide emissions (million metric tons),Residential,2000,"Residential, (million metric tons)",10.6
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,2000,"Transportation, (million metric tons)",46.1
Indiana,Carbon Dioxide emissions (million metric tons),Total,2005,"Total, (million metric tons)",233.8
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,2005,"Commercial, (million metric tons)",5.5
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,2005,"Electric power, (million metric tons)",123.8
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,2005,"Industrial, (million metric tons)",50
Indiana,Carbon Dioxide emissions (million metric tons),Residential,2005,"Residential, (million metric tons)",9.5
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,2005,"Transportation, (million metric tons)",45
Indiana,Carbon Dioxide emissions (million metric tons),Total,2010,"Total, (million metric tons)",216.7
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,2010,"Commercial, (million metric tons)",5.5
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,2010,"Electric power, (million metric tons)",115.6
Indiana,Carbon Dioxide emissions (million metric tons),Industrial,2010,"Industrial, (million metric tons)",45.1
Indiana,Carbon Dioxide emissions (million metric tons),Residential,2010,"Residential, (million metric tons)",8.7
Indiana,Carbon Dioxide emissions (million metric tons),Transportation,2010,"Transportation, (million metric tons)",41.8
Indiana,Carbon Dioxide emissions (million metric tons),Total,2011,"Total, (million metric tons)",209.3
Indiana,Carbon Dioxide emissions (million metric tons),Commercial,2011,"Commercial, (million metric tons)",5.4
Indiana,Carbon Dioxide emissions (million metric tons),Electric power,2011,"Electric power, (million metric tons)",109.9
